scheduler,patronID,drink,execTime,waitTime,turnaroundTime,queueLevel
FCFS,0,White Wine,25,0,30,0
FCFS,0,Cider,25,0,30,0
FCFS,1,Cider,25,0,30,0
FCFS,0,B52,200,0,202,0
FCFS,1,Tequila shot,20,164,189,0
FCFS,2,Bloody Mary,70,124,199,0
FCFS,0,White Wine,25,90,120,0
FCFS,1,Martini,60,103,167,0
FCFS,2,Red Wine,25,0,30,0
FCFS,0,Martini,60,1,64,0
FCFS,1,Beer,25,40,67,0
FCFS,2,Beer,25,0,30,0
FCFS,0,Gin and Tonic,40,2,45,0
FCFS,1,Mojito,75,33,110,0
FCFS,2,Margarita,75,17,92,0
FCFS,1,Beer,25,0,29,0
FCFS,1,Gin and Tonic,40,0,42,0
FCFS,3,Tequila shot,20,37,60,0
FCFS,3,Pina Colada,100,0,105,0
FCFS,1,B52,200,19,219,0
FCFS,3,White Wine,25,78,108,0
FCFS,3,Pina Colada,100,0,103,0
FCFS,4,Margarita,75,0,77,0
FCFS,3,Cider,25,4,30,0
FCFS,4,Martini,60,0,64,0
FCFS,3,Gin and Tonic,40,17,61,0
FCFS,3,Bloody Mary,70,0,75,0
FCFS,5,Pina Colada,100,0,100,0
FCFS,6,Draft Beer,50,0,53,0
FCFS,5,Gin and Tonic,40,9,53,0
FCFS,6,Bloody Mary,70,0,70,0
FCFS,7,Gin and Tonic,40,50,95,0
FCFS,6,White Wine,25,0,29,0
FCFS,7,White Wine,25,22,48,0
FCFS,8,Beer,25,0,26,0
FCFS,6,Beer,25,0,29,0
FCFS,7,Mojito,75,3,83,0
FCFS,8,Pina Colada,100,30,131,0
FCFS,6,Pina Colada,100,78,180,0
FCFS,9,Cosmopolitan,65,0,70,0
FCFS,9,B52,200,0,205,0
FCFS,9,Bloody Mary,70,0,70,0
