scheduler,patronID,drink,execTime,waitTime,turnaroundTime,queueLevel
PRIORITY,0,Beer,25,2,32,0
PRIORITY,0,White Wine,25,0,28,0
PRIORITY,0,Margarita,75,0,79,0
PRIORITY,0,B52,200,0,201,0
PRIORITY,1,Tequila shot,20,57,80,0
PRIORITY,0,Beer,25,11,38,0
PRIORITY,1,Cosmopolitan,65,23,92,0
PRIORITY,2,Draft Beer,50,52,106,0
PRIORITY,0,White Wine,25,19,49,0
PRIORITY,3,Pina Colada,100,0,105,0
PRIORITY,2,B52,200,74,279,0
PRIORITY,3,White Wine,25,80,106,0
PRIORITY,2,White Wine,25,14,44,0
PRIORITY,4,Gin and Tonic,40,250,295,0
PRIORITY,5,Beer,25,261,288,0
PRIORITY,6,Draft Beer,50,194,249,0
PRIORITY,3,Cosmopolitan,65,6,76,0
PRIORITY,4,Gin and Tonic,40,45,90,0
PRIORITY,5,Beer,25,70,99,0
PRIORITY,6,Gin and Tonic,40,45,89,0
PRIORITY,7,Cosmopolitan,65,394,463,0
PRIORITY,4,White Wine,25,35,63,0
PRIORITY,5,Martini,60,42,105,0
PRIORITY,6,Pina Colada,100,51,155,0
PRIORITY,4,Red Wine,25,15,43,0
PRIORITY,7,Draft Beer,50,172,227,0
PRIORITY,8,White Wine,25,652,680,0
PRIORITY,9,Mojito,75,485,563,0
PRIORITY,4,Mojito,75,9,89,0
PRIORITY,6,Tequila shot,20,152,174,0
PRIORITY,7,Tequila shot,20,107,127,0
PRIORITY,8,Pina Colada,100,50,154,0
PRIORITY,4,Vodka shot,20,38,63,0
PRIORITY,9,White Wine,25,144,173,0
PRIORITY,4,Pina Colada,100,26,127,0
PRIORITY,10,Martini,60,753,818,0
PRIORITY,11,Vodka shot,20,764,786,0
PRIORITY,12,Vodka shot,20,650,675,0
PRIORITY,11,Bloody Mary,70,23,93,0
PRIORITY,4,Pina Colada,100,65,168,0
PRIORITY,10,Tequila shot,20,110,135,0
PRIORITY,12,Vodka shot,20,198,222,0
PRIORITY,10,Pina Colada,100,21,122,0
PRIORITY,11,Bloody Mary,70,103,178,0
PRIORITY,13,Beer,25,1020,1046,0
PRIORITY,14,Cider,25,967,993,0
PRIORITY,10,Gin and Tonic,40,9,54,0
PRIORITY,15,Cosmopolitan,65,921,988,0
PRIORITY,11,Bloody Mary,70,15,90,0
PRIORITY,10,Cider,25,30,57,0
PRIORITY,13,Red Wine,25,141,167,0
